title,price,area,location,property_type,publisher,details,main_image,carousel_images
Oficina en arriendo,"$ 68,838,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,INTERNATIONAL BROKERS COLOMBIA SAS,1 Ambiente 625.8 m²,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/7c90552c-27ed-48b8-857e-bebc7048f473/photos/7c90552c-27ed-48b8-857e-bebc7048f473_1_True_e307ddf5-349c-4995-8ff5-8197e8eac74c.jpeg,[]
Oficina en  Arriendo,"$ 25,300,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Redinmuebles,402 m²,https://cdn2.infocasas.com.uy/repo/img/66ef1c6462856_infocdn__52173-1-1726539086jpg.jpg,[]
Oficina en  Arriendo,"$ 4,700,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,PADS,4 Ambientes 145 m²,https://cdn2.infocasas.com.uy/repo/img/66f2ad836fd21_infocdn__eyjidwnrzxqioijwywrzlwltywdlcyisimtlesi6imixmtmxote0lte3njitngu0ms1indq4lwrjowjkodzjztiync5qcgcilcjlzgl0cyi6eyjyzxnpemuionsid2lkdggiojeyotasimzpdci6imluc2lkzsj9lcj0b0zvcm1hdci6impwzwcifx0=.jpeg,[]
Local en  Arriendo,"$ 4,600,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Inmobiliare - Julio Corredor desde 1960,2 Baños230 m²,https://cdn2.infocasas.com.uy/repo/img/66d1f6c452fbd_infocdn__949e27ff-c2f4-4f6d-a32b-4e854b85cf2a,[]
Local en  Arriendo,"$ 16,723,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Inmobiliare - Julio Corredor desde 1960,119 m²,https://cdn2.infocasas.com.uy/repo/img/6708388738ef7_infocdn__797c676e-e44a-4581-bbdd-c6b5ca7e25d8,[]
Oficina en  Arriendo,"$ 1,500,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,BEMSA,2 Baños72 m²,https://cdn2.infocasas.com.uy/repo/img/66ec2c367d322_infocdn__8bb78c5a-b20b-4965-a32c-911ff7cdfd97,[]
Oficina en  Arriendo,"$ 3,981,700",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Inmobiliare - Julio Corredor desde 1960,65 m²,https://cdn2.infocasas.com.uy/repo/img/66e89ff768eec_infocdn__377551d2-1777-4d3f-95ce-192f51da09c9,[]
Local en  Arriendo,"$ 3,300,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Inmobiliare - Julio Corredor desde 1960,2 Baños140 m²,https://cdn2.infocasas.com.uy/repo/img/66e89f92cc817_infocdn__63f9b643-73e6-4695-bb62-3280d829ad1a,[]
Oficina en arriendo,"$ 27,500,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Redinmuebles,500 m²,https://cdn2.infocasas.com.uy/repo/img/66e8a37de744b_infocdn__45200-1-11108828jpg.jpg,[]
Oficina en arriendo,"$ 2,250,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,PADS,1 Baño27 m²,https://cdn2.infocasas.com.uy/repo/img/66f18577134eb_infocdn__eyjidwnrzxqioijwywrzlwltywdlcyisimtlesi6imu4nji1otdllthmy2mtngrkzi1intiwlwi3mtbjyza5zjizns5qcgcilcjlzgl0cyi6eyjyzxnpemuionsid2lkdggiojeyotasimzpdci6imluc2lkzsj9lcj0b0zvcm1hdci6impwzwcifx0=.jpeg,[]
